honk|direct|0.001323|-|-|8889|0.00|83
honk|hy2|0.001777|0.000718|0.002624|6606|0.62|48
honk|hy2/udp|0.000070|-|-|915(77.2%)|0.43|-
honk|tuic|0.001817|0.000895|0.001428|3234|0.32|46
honk|tuic/udp|0.000160|-|-|1046(75.5%)|0.47|-
