# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 924  of event 'cpu-clock:u'
# Event count (approx.): 1851703392
#
# Children      Self  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ........  ...............  ...............................  ...............................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.76%     0.76%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::varint::VarInt as quinn_proto::coding::Codec>::decode::<bytes::bytes::Bytes>                                                                                                                                                                                                                                                                                   -      -
     0.76%     0.76%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_memcmp                                                                                                                                                                                                                                                                                                                                                                -      -
     0.65%     0.65%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <boring::aead::AeadCtxRef>::open_in_place                                                                                                                                                                                                                                                                                                                                    -      -
     0.65%     0.65%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] sccp                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.65%     0.65%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::raw::poll::<tokio::runtime::blocking::task::BlockingTask<<tokio::runtime::scheduler::multi_thread::worker::Launch>::launch::{closure#0}>, tokio::runtime::blocking::schedule::BlockingSchedule>                                                                                                                                                        -      -
     0.54%     0.54%  tokio-rt-worker  [vdso]                           [.] 0x00000000000008cb                                                                                                                                                                                                                                                                                                                                                           -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::recv_stream::RecvStream>::poll_read_buf                                                                                                                                                                                                                                                                                                                              -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialDecode>::decrypt_header                                                                                                                                                                                                                                                                                                                         -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::range_set::array_range_set::ArrayRangeSet>::insert                                                                                                                                                                                                                                                                                                             -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tracing::instrument::Instrumented<<quinn::endpoint::Endpoint>::new_with_abstract_socket::{closure#0}> as core::future::future::Future>::poll                                                                                                                                                                                                                                -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_finish                                                                                                                                                                                                                                                                                                                                                         -      -
     0.54%     0.32%  tokio-rt-worker  [vdso]                           [.] __vdso_clock_gettime                                                                                                                                                                                                                                                                                                                                                         -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_udp::imp::UdpSocketState>::recv                                                                                                                                                                                                                                                                                                                                       -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.54%     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::waker::clone_waker                                                                                                                                                                                                                                                                                                                                     -      -


#
# (Tip: Use --symfs <dir>[,layout] if your symbol files are in non-standard locations.)
#
