# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 3442885744
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  ...............  ...............................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.87%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::streams::recv::Chunks>::next                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.87%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::mpsc::list::Rx<quinn::ConnectionEvent>>::pop                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.81%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] sccp                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.76%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::vec_deque::VecDeque<quinn_proto::connection::streams::StreamEvent>>::push_back_mut                                                                                                                                                                                                                                                                                                                                                    -      -
     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <boring::aead::AeadCtxRef>::open_in_place                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::frame::Iter>::new                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialDecode>::decrypt_header                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_aad                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_finish                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.64%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_udp::imp::UdpSocketState>::recv                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.64%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_decrypt                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.52%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::assembler::Buffer>>::push                                                                                                                                                                                                                                                                                                                                                            -      -
     0.52%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::range_set::array_range_set::ArrayRangeSet>::insert                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <hashbrown::map::HashMap<quinn_proto::StreamId, core::task::wake::Waker, rustc_hash::FxBuildHasher>>::remove::<quinn_proto::StreamId>                                                                                                                                                                                                                                                                                                                      -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::reset_idle_timeout                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::assembler::Assembler>::read                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::frame::Iter as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::raw::poll::<tokio::runtime::blocking::task::BlockingTask<<tokio::runtime::scheduler::multi_thread::worker::Launch>::launch::{closure#0}>, tokio::runtime::blocking::schedule::BlockingSchedule>                                                                                                                                                                                                                                      -      -
     0.41%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <core::io::cursor::Cursor<bytes::bytes_mut::BytesMut> as bytes::buf::buf_impl::Buf>::try_copy_to_slice                                                                                                                                                                                                                                                                                                                                                     -      -
     0.41%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <hashbrown::map::HashMap<quinn_proto::StreamId, core::option::Option<quinn_proto::connection::streams::state::StreamRecv>, rustc_hash::FxBuildHasher>>::get_mut::<quinn_proto::StreamId>                                                                                                                                                                                                                                                                   -      -
     0.41%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::on_packet_authenticated                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.41%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] bytes::bytes::static_drop                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <[u8; 20] as core::hash::Hash>::hash::<rustc_hash::FxHasher>                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::copy_to_slice                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::recv_stream::RecvStream>::poll_read_buf                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::populate_packet                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tracing::instrument::Instrumented<<quinn::endpoint::Endpoint>::new_with_abstract_socket::{closure#0}> as core::future::future::Future>::poll                                                                                                                                                                                                                                                                                                              -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] core::ptr::drop_glue::<std::sync::poison::mutex::MutexGuard<core::option::Option<alloc::sync::Arc<tokio::net::udp::UdpSocket>>>>                                                                                                                                                                                                                                                                                                                           -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] core::ptr::drop_glue::<tracing::span::Entered>                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.35%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::raw::schedule::<alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>                                                                                                                                                                                                                                                                                                                                           -      -
