# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 924  of event 'cpu-clock:u'
# Event count (approx.): 1851703392
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ...............  ...............................  ...............................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::range_set::array_range_set::ArrayRangeSet>::insert                                                                                                                                                                                                                                                                                                             -      -
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_udp::imp::UdpSocketState>::recv                                                                                                                                                                                                                                                                                                                                       -      -
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tracing::instrument::Instrumented<<quinn::endpoint::Endpoint>::new_with_abstract_socket::{closure#0}> as core::future::future::Future>::poll                                                                                                                                                                                                                                -      -
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_finish                                                                                                                                                                                                                                                                                                                                                         -      -
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.54%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::waker::clone_waker                                                                                                                                                                                                                                                                                                                                     -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <core::pin::Pin<alloc::boxed::Box<honk_core::relay::copy_way<tokio::io::split::ReadHalf<&mut honk_core::relay::ReadCounter<alloc::boxed::Box<dyn honk_outbound::proxy::AsyncReadWrite>>>, tokio::io::split::WriteHalf<&mut honk_core::relay::ReadCounter<&mut tokio::net::tcp::stream::TcpStream>>>::{closure#0}>> as core::future::future::Future>::poll                    -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic::NoGsoUdpSocket as quinn::runtime::AsyncUdpSocket>::poll_recv                                                                                                                                                                                                                                                                                           -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::reset_idle_timeout                                                                                                                                                                                                                                                                                                                    -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::frame::Iter>::new                                                                                                                                                                                                                                                                                                                                              -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::process::imp::GlobalOrphanQueue>::reap_orphans                                                                                                                                                                                                                                                                                                                       -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::scheduler::multi_thread::worker::Context>::park_internal                                                                                                                                                                                                                                                                                                    -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aead_aes_gcm_open_gather(evp_aead_ctx_st const*, unsigned char*, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long)                                                                                                                                                         -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes::x86::ni::encdec::encrypt::<11>                                                                                                                                                                                                                                                                                                                                          -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] core::ptr::drop_glue::<std::sync::poison::mutex::MutexGuard<core::option::Option<alloc::sync::Arc<tokio::net::udp::UdpSocket>>>>                                                                                                                                                                                                                                             -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] honk_core::relay::splice::relay_auto::<&mut tokio::net::tcp::stream::TcpStream, alloc::boxed::Box<dyn honk_outbound::proxy::AsyncReadWrite>>::{closure#0}                                                                                                                                                                                                                    -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] pow                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.32%  tokio-rt-worker  [vdso]                           [.] __vdso_clock_gettime                                                                                                                                                                                                                                                                                                                                                         -      -
            |
             --0.22%--__vdso_clock_gettime

     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <[u8; 20] as core::hash::Hash>::hash::<rustc_hash::FxHasher>                                                                                                                                                                                                                                                                                                                 -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::vec_deque::VecDeque<quinn_proto::connection::streams::StreamEvent>>::push_back_mut                                                                                                                                                                                                                                                                      -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <hashbrown::map::HashMap<quinn_proto::StreamId, core::option::Option<quinn_proto::connection::streams::state::StreamRecv>, rustc_hash::FxBuildHasher>>::get_mut::<quinn_proto::StreamId>                                                                                                                                                                                     -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <hashbrown::map::HashMap<quinn_proto::StreamId, core::task::wake::Waker, rustc_hash::FxBuildHasher>>::remove::<quinn_proto::StreamId>                                                                                                                                                                                                                                        -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic::Brutal as quinn_proto::congestion::Controller>::on_sent                                                                                                                                                                                                                                                                                                -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic_boring::BoringHeaderKey as quinn_proto::crypto::HeaderKey>::decrypt                                                                                                                                                                                                                                                                                     -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::on_ack_received                                                                                                                                                                                                                                                                                                                       -      -
