# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 4651302568
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ...............  ...............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.60%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut, u64, u64, alloc::collections::btree::node::marker::Leaf>, alloc::collections::btree::node::marker::KV>>::remove_leaf_kv::<<alloc::collections::btree::map::entry::OccupiedEntry<u64, u64>>::remove_kv::{closure#0}, alloc::alloc::Global>                                                                                                                              -      -
     0.52%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::time::handle::Handle>::process_at_time                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic_boring::BoringPacketKey as quinn_proto::crypto::PacketKey>::tag_len                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::cid_queue::CidQueue>::active                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.47%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] syscall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::congestion::bbr::Bbr as quinn_proto::congestion::Controller>::on_ack                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] EVP_AEAD_CTX_seal_scatter                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.43%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] _mi_page_malloc_zero                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.39%  tokio-rt-worker  [vdso]                           [.] __vdso_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.39%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Immut, u64, u64, alloc::collections::btree::node::marker::LeafOrInternal>>::find_upper_bound_index::<u64>                                                                                                                                                                                                                                                                                                           -      -
     0.39%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::endpoint::RecvState>::poll_socket                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.39%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialEncode>::finish                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
