honk|direct|0.003772|-|-|9403|0.00|46
honk|hy2|0.001627|0.000870|0.002347|6140|0.61|48
honk|hy2/udp|0.000112|-|-|823(79.8%)|0.43|-
honk|tuic|0.001708|0.000795|0.003429|3350|0.34|43
honk|tuic/udp|0.000090|-|-|1049(75.3%)|0.47|-
honk|ss2022|0.003310|0.001174|0.001385|9401|0.31|48
honk|ss2022/udp|0.000079|-|-|1814(52.6%)|0.67|-
honk|trojan|0.005320|0.000891|0.007515|9288|0.36|43
honk|trojan/udp|0.000112|-|-|1572(59.4%)|0.67|-
honk|anytls-sb|0.001833|0.000724|0.001972|9361|0.43|46
honk|anytls-sb/udp|0.000147|-|-|1156(68.0%)|0.43|-
honk|anytls-go|0.002926|0.000761|0.003287|9391|0.47|42
honk|anytls-go/udp|0.000082|-|-|1299(64.7%)|0.48|-
dae|direct|0.001789|-|-|9403|0.00|39
dae|hy2|0.003060|0.000719|0.000930|6466|0.79|51
dae|hy2/udp|0.000158|-|-|902(78.0%)|0.45|-
dae|tuic|0.018096|0.016352|0.016921|3877|0.52|54
dae|tuic/udp|0.000103|-|-|937(76.7%)|0.48|-
dae|ss2022|0.002080|0.001083|0.002241|9368|0.37|53
dae|ss2022/udp|0.000154|-|-|2513(34.3%)|0.64|-
dae|trojan|0.002208|0.001381|0.002961|9381|0.44|46
dae|trojan/udp|0.000070|-|-|2870(23.7%)|0.60|-
dae|anytls-sb|0.005431|0.000738|0.002097|9352|0.43|52
dae|anytls-sb/udp|0.000109|-|-|1104(66.1%)|0.29|-
dae|anytls-go|0.004332|0.001175|0.002490|9200|0.44|54
dae|anytls-go/udp|0.000109|-|-|1418(64.7%)|0.34|-
