honk|direct|0.003544|-|-|862|0.02|22
honk|hy2|0.006827|0.005557|0.018128|344|1.27|39
honk|hy2/udp|0.002176|-|-|2(87.1%)|1.56|-
honk|tuic|0.005912|0.005445|0.006854|233|0.93|29
honk|tuic/udp|0.002428|-|-|2(88.2%)|1.52|-
honk|ss2022|0.005939|0.004889|0.031721|430|0.76|28
honk|ss2022/udp|0.001807|-|-|95(91.6%)|0.90|-
honk|trojan|0.059571|0.013261|0.059743|416|0.79|30
honk|trojan/udp|0.001626|-|-|106(97.2%)|0.91|-
dae|direct|0.003379|-|-|860|0.01|41
dae|hy2|0.021981|0.005782|0.007017|218|0.80|45
dae|hy2/udp|0.002434|-|-|99(97.1%)|0.86|-
dae|tuic|0.032721|0.021513|0.022089|238|0.81|43
dae|tuic/udp|0.002601|-|-|101(97.2%)|0.86|-
dae|ss2022|0.008166|0.006855|0.007625|281|0.82|36
dae|ss2022/udp|0.002101|-|-|117(93.9%)|0.79|-
dae|trojan|0.015561|0.015397|0.017603|205|0.79|40
dae|trojan/udp|0.002340|-|-|171(95.6%)|0.79|-
