honk|direct|9408|1.517|1.994|2.475|3.426|0/200
honk|hy2|6033|1.708|3.005|8.075|9.802|3/200
honk|tuic|3366|1.400|2.061|2.609|2.767|0/200
honk|ss2022|9403|1.885|3.177|4.869|6.013|4/200
honk|trojan|9323|1.671|4.362|7.895|11.469|0/200
honk|anytls-sb|9317|1.625|2.863|2089.764|3107.546|0/200
honk|anytls-go|9304|2.121|4.875|8.950|11.094|0/200
dae|direct|9406|1.687|2.306|2.551|4.937|0/200
dae|hy2|6083|2.106|4.457|7.427|7.786|6/200
dae|tuic|4014|16.179|17.111|17.637|18.310|0/200
dae|ss2022|9404|2.244|4.025|5.689|13.743|0/200
dae|trojan|9390|3.454|7.135|12.618|17.764|0/200
dae|anytls-sb|8770|1.626|3.889|42.709|58.435|4/200
dae|anytls-go|9244|2.278|11.220|16.807|20.968|2/200
